All,"Tất Cả"
None,"Không cái nào"
"Allowed Scopes","Phạm vi được phép"
"More permissions are needed to delete the ""%1"" item.","Cần thêm quyền quản trị để xoá ""%1"" này đi."
"You need more permissions to apply some of the rule updates.","Bạn cần thêm quyền để áp dụng một số quy tắc Cập Nhật."
"Role Scopes","Phạm vi ghi vai trò"
Custom,"Tùy chỉnh"
"Read Details","Đọc chi tiết"
"Mark as Read","Đánh dấu đã đọc"
"Are you sure?","Bạn chắc chứ?"
Remove,"Loại bỏ"
"Messages Inbox","Hộp thư"
"You have %1 new system messages","Bạn có %1 hệ thống thư mới"
"You have %1 new system message","Bạn có %1 hệ thống thư mới"
"Incoming Message","Thư đến"
close,đóng
Notifications,"Các thông báo"
"The message has been marked as Read.","Thư được đánh dấu đã đọc."
"We couldn't mark the notification as Read because of an error.","Chúng tôi không thể đánh dấu đã đọc vì có lỗi xảy ra."
"Please select messages.","Vui lòng chọn thư."
"A total of %1 record(s) have been marked as Read.","Tổng cộng %1 bản ghi chép(s) đã được đánh đấu Đã đọc."
"Total of %1 record(s) have been removed.","Tất cả biên bản %1 đã được xóa."
"We couldn't remove the messages because of an error.","Chúng tôi không thể di chuyển tin nhắn vì có lỗi xảy ra."
"The message has been removed.","Thư đã được xóa."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Bạn đã xem và duyệt qua những lưu ý từ hệ thống. Xin hãy làm mới lại trang web để làm trống cảnh báo hệ thống."
"1 Hour","1 Giờ"
"2 Hours","2 Giờ"
"6 Hours","6 Giờ"
"12 Hours","12 Giờ"
"24 Hours","24 Giờ"
critical,"nghiêm trọng"
major,chính
minor,nhỏ
notice,"chú ý"
"Wrong message type","Sai loại tin nhắn"
"Wrong notification ID specified.","Sai thông báo ID."
